股票代码,股票名称,昨日收盘,今日开盘,今日收盘,最高价,最低价,涨幅(%),成交量,日期
301611,珂玛科技,120.27,121.8,126.68,130.99,118.35,5.33,142252,2026-01-30
002664,信质集团,24.48,25.1,25.78,26.48,24.53,5.31,168192,2026-01-30
600768,宁波富邦,16.94,16.61,17.84,18.5,16.42,5.31,14131293,2026-01-30
300255,常山药业,52.61,52.6,55.39,57.0,52.6,5.28,277366,2026-01-30
600792,云煤能源,4.38,4.47,4.61,4.82,4.47,5.25,121019818,2026-01-30
002768,国恩股份,55.78,55.18,58.69,58.86,54.61,5.22,47733,2026-01-30
688663,新风光,53.5,54.3,56.27,56.76,53.5,5.18,7466808,2026-01-30
300548,长芯博创,154.07,150.0,162.0,165.8,147.12,5.15,411561,2026-01-30
688143,长盈通,50.1,50.1,52.68,53.17,49.51,5.15,7509635,2026-01-30
000070,特发信息,11.32,11.14,11.9,12.15,11.0,5.12,877418,2026-01-30
301189,奥尼电子,40.7,40.26,42.78,43.16,39.58,5.11,38543,2026-01-30
002905,金逸影视,11.56,11.48,12.15,12.68,11.25,5.1,397305,2026-01-30
688359,三孚新科,71.85,70.79,75.5,76.44,70.25,5.08,5445750,2026-01-30
600107,ST尔雅,5.72,5.81,6.01,6.01,5.72,5.07,6953750,2026-01-30
300014,亿纬锂能,60.71,60.71,63.79,64.1,59.58,5.07,882802,2026-01-30
002713,*ST东易,8.3,8.25,8.72,8.72,8.18,5.06,283756,2026-01-30
603363,傲农生物,4.15,4.15,4.36,4.42,4.13,5.06,1362055,2026-01-30
603285,键邦股份,31.79,30.96,33.4,34.2,30.96,5.06,68813,2026-01-30
300042,朗科科技,35.3,35.8,37.07,38.38,35.8,5.01,359803,2026-01-30
603813,*ST原尚,39.9,39.88,41.9,41.9,39.88,5.01,832300,2026-01-30
600421,*ST华嵘,7.38,7.38,7.75,7.75,7.24,5.01,113524,2026-01-30
300602,飞荣达,33.37,32.9,35.04,35.63,32.85,5.0,489845,2026-01-30
